epoch,baseline_train_loss_attempt_1,free_prop_train_loss_attempt_1,baseline_train_loss_attempt_2,free_prop_train_loss_attempt_2,baseline_train_loss_attempt_3,free_prop_train_loss_attempt_3,baseline_train_loss_attempt_4,free_prop_train_loss_attempt_4,baseline_train_loss_attempt_5,free_prop_train_loss_attempt_5,baseline_train_loss_attempt_6,free_prop_train_loss_attempt_6,baseline_train_loss_attempt_7,free_prop_train_loss_attempt_7,baseline_train_loss_attempt_8,free_prop_train_loss_attempt_8,baseline_train_loss_attempt_9,free_prop_train_loss_attempt_9,baseline_train_loss_attempt_10,free_prop_train_loss_attempt_10
1,0.37317678332328796,0.43123292922973633,0.3810461759567261,0.4358583390712738,0.38031014800071716,0.42635971307754517,0.3657281994819641,0.42442378401756287,0.36535632610321045,0.43062758445739746,0.37828826904296875,0.4272462725639343,0.3782574534416199,0.4308496415615082,0.36558958888053894,0.4334558844566345,0.36299970746040344,0.43398696184158325,0.37680941820144653,0.4339144825935364
2,0.18236705660820007,0.20839841663837433,0.19467861950397491,0.21978428959846497,0.1875477284193039,0.2102564126253128,0.18616963922977448,0.20265069603919983,0.18331491947174072,0.20196229219436646,0.17822898924350739,0.20945854485034943,0.18339748680591583,0.21964031457901,0.18319886922836304,0.2162524163722992,0.18024735152721405,0.22090086340904236,0.1916213184595108,0.21608877182006836
3,0.13815656304359436,0.15913480520248413,0.14709752798080444,0.1666293442249298,0.14377911388874054,0.15808464586734772,0.13961398601531982,0.1581701785326004,0.14065562188625336,0.1535203903913498,0.1351020187139511,0.15916408598423004,0.13891738653182983,0.1655188351869583,0.14229311048984528,0.16212451457977295,0.1358596533536911,0.16635850071907043,0.14588741958141327,0.1616690456867218
4,0.11312315613031387,0.12971779704093933,0.11921925842761993,0.13403065502643585,0.11841382831335068,0.12669360637664795,0.11222085356712341,0.1302911788225174,0.11532218009233475,0.12484563142061234,0.112066350877285,0.1301865577697754,0.11256159842014313,0.13317589461803436,0.11774121969938278,0.13016188144683838,0.11080590635538101,0.1350872665643692,0.11805229634046555,0.1285778433084488
5,0.0963633581995964,0.10953638702630997,0.10012286901473999,0.11210222542285919,0.10067185014486313,0.10677839070558548,0.09362182021141052,0.1107494905591011,0.09780409187078476,0.10529913008213043,0.09622301161289215,0.11068660020828247,0.09495764970779419,0.11175417900085449,0.10068165510892868,0.10895879566669464,0.0941941887140274,0.11434847861528397,0.09920717775821686,0.10650337487459183
6,0.08399813622236252,0.09420975297689438,0.08612863719463348,0.09642497450113297,0.08743377774953842,0.09260298311710358,0.08025957643985748,0.09631060063838959,0.08448275923728943,0.09146098047494888,0.08424469828605652,0.09646233171224594,0.08201156556606293,0.09595578163862228,0.08791355788707733,0.0936078131198883,0.08170371502637863,0.09878755360841751,0.08543061465024948,0.09087198972702026
7,0.07432033866643906,0.08220458775758743,0.07554102689027786,0.08464577049016953,0.07685648649930954,0.0817776620388031,0.06985422968864441,0.08489999175071716,0.07381004840135574,0.08088792860507965,0.07472696155309677,0.08548525720834732,0.07171111553907394,0.08372768759727478,0.07766696065664291,0.08189523965120316,0.07167930901050568,0.0863262414932251,0.07475709170103073,0.07900771498680115
8,0.06653041392564774,0.07264547049999237,0.0669591948390007,0.07510484009981155,0.06810365617275238,0.07302259653806686,0.06183575093746185,0.07566805183887482,0.06509622186422348,0.07231902331113815,0.06667546182870865,0.07664965838193893,0.063416488468647,0.0739421471953392,0.06914574652910233,0.0726286768913269,0.06351247429847717,0.07602544128894806,0.06638588011264801,0.0696587860584259
9,0.05983397364616394,0.0646965503692627,0.05970935523509979,0.06724229454994202,0.060921140015125275,0.06544627994298935,0.054935257881879807,0.06807556748390198,0.057926807552576065,0.06521909683942795,0.05979844182729721,0.06942220032215118,0.05646691471338272,0.0657864436507225,0.06181713193655014,0.06510044634342194,0.05667513236403465,0.06736090034246445,0.05927065759897232,0.06215157359838486
10,0.053793955594301224,0.05797272548079491,0.05369988828897476,0.060635559260845184,0.05478041246533394,0.05887874960899353,0.0491921566426754,0.061431657522916794,0.051616642624139786,0.05893108248710632,0.05381343886256218,0.06305021792650223,0.05038999766111374,0.058912504464387894,0.055552348494529724,0.05850183591246605,0.0506824254989624,0.060137856751680374,0.053064387291669846,0.05571586638689041
